Year,Month,Day,Hour,Minute,Second,Classification
2017,6,6,18,52,12.9498889160156,0
2017,6,6,18,52,14.7557658691406,0
2017,6,6,18,52,16.5616208496094,0
2017,6,6,18,52,18.3674670410156,0
2017,6,6,18,52,20.1734360351563,0
2017,6,6,18,52,21.9793740234375,0
2017,6,6,18,52,23.7852880859375,0
2017,6,6,18,52,25.5911159667969,0
2017,6,6,18,52,27.3969318847656,0
2017,6,6,18,52,29.2027431640625,0
2017,6,6,18,52,31.0085969238281,0
2017,6,6,18,52,32.8145229492187,0
2017,6,6,18,52,34.6203950195313,0
2017,6,6,18,52,36.426125,0
2017,6,6,18,52,38.2319680175781,0
2017,6,6,18,52,40.0378950195312,0
2017,6,6,18,52,41.8438000488281,0
2017,6,6,18,52,43.6495520019531,0
2017,6,6,18,52,45.4552978515625,0
2017,6,6,18,52,47.2611958007813,0
2017,6,6,18,52,49.067125,0
2017,6,6,18,52,50.8729091796875,0
2017,6,6,18,52,52.6786850585938,0
2017,6,6,18,52,54.4845300292969,0
2017,6,6,18,52,56.2903481445313,0
2017,6,6,18,52,58.0963071289062,0
2017,6,6,18,52,59.9021789550781,0
2017,6,6,18,53,1.7079091796875,0
2017,6,6,18,53,3.51373803710938,0
2017,6,6,18,53,5.31939916992187,0
2017,6,6,18,53,7.12516796875,0
2017,6,6,18,53,8.93098681640625,0
2017,6,6,18,53,10.7367060546875,0
2017,6,6,18,53,12.5424868164062,0
2017,6,6,18,53,14.3481618652344,0
2017,6,6,18,53,16.1541059570312,0
2017,6,6,18,53,17.9598579101562,0
2017,6,6,18,53,19.7657380371094,0
2017,6,6,18,53,21.571458984375,0
2017,6,6,18,53,23.3773549804687,0
2017,6,6,18,53,25.1830280761719,0
2017,6,6,18,53,26.9887048339844,0
2017,6,6,18,53,28.7944509277344,0
2017,6,6,18,53,30.60028515625,0
2017,6,6,18,53,32.4060891113281,0
2017,6,6,18,53,34.2119750976562,0
2017,6,6,18,53,36.0177180175781,0
2017,6,6,18,53,37.8235500488281,0
2017,6,6,18,53,39.6293959960937,0
2017,6,6,18,53,41.4353098144531,0
2017,6,6,18,53,43.2411279296875,0
2017,6,6,18,53,45.0469729003906,0
2017,6,6,18,53,46.8527270507812,0
2017,6,6,18,53,48.6584770507813,0
2017,6,6,18,53,50.4643229980469,0
2017,6,6,18,53,52.27012109375,0
2017,6,6,18,53,54.0759169921875,0
2017,6,6,18,53,55.8816188964844,0
2017,6,6,18,53,57.6874079589844,0
2017,6,6,18,53,59.4932810058594,0
2017,6,6,18,54,1.29916186523438,0
2017,6,6,18,54,3.10522900390625,0
2017,6,6,18,54,4.910828125,0
2017,6,6,18,54,6.71651904296875,0
2017,6,6,18,54,8.52235302734375,0
2017,6,6,18,54,10.3280539550781,0
2017,6,6,18,54,12.1337768554687,0
2017,6,6,18,54,13.9396059570313,0
2017,6,6,18,54,15.7454887695312,0
2017,6,6,18,54,17.5512280273438,0
2017,6,6,18,54,19.3569331054688,0
2017,6,6,18,54,21.1626669921875,0
2017,6,6,18,54,22.9684790039062,0
2017,6,6,18,54,24.7743439941406,0
2017,6,6,18,54,26.5800222167969,0
2017,6,6,18,54,28.3858029785156,0
2017,6,6,18,54,30.1916130371094,0
2017,6,6,18,54,31.9974821777344,0
2017,6,6,18,54,33.8033029785156,0
2017,6,6,18,54,35.6090600585937,0
2017,6,6,18,54,37.4150109863281,0
2017,6,6,18,54,39.2209301757812,0
2017,6,6,18,54,41.0267189941406,0
2017,6,6,18,54,42.8326840820312,0
2017,6,6,18,54,44.6383979492187,0
2017,6,6,18,54,46.444294921875,0
2017,6,6,18,54,48.2500969238281,0
2017,6,6,18,54,50.0560478515625,0
2017,6,6,18,54,51.8620100097656,0
2017,6,6,18,54,53.6677629394531,0
2017,6,6,18,54,55.4734299316406,0
2017,6,6,18,54,57.2793190917969,0
2017,6,6,18,54,59.0851430664063,0
2017,6,6,18,55,0.891053955078125,0
2017,6,6,18,55,2.69703784179687,0
2017,6,6,18,55,4.50277392578125,0
2017,6,6,18,55,6.30865795898437,0
2017,6,6,18,55,8.11784008789063,0
2017,6,6,18,55,9.92379809570313,0
2017,6,6,18,55,11.7296508789063,0
2017,6,6,18,55,13.5354760742187,0
2017,6,6,18,55,15.3412609863281,0
2017,6,6,18,55,17.1472919921875,0
2017,6,6,18,55,18.9531218261719,0
2017,6,6,18,55,20.7588869628906,0
2017,6,6,18,55,22.5645671386719,0
2017,6,6,18,55,24.3702231445312,0
2017,6,6,18,55,26.1761728515625,0
2017,6,6,18,55,27.9820671386719,0
2017,6,6,18,55,29.7877331542969,0
2017,6,6,18,55,31.5935339355469,0
2017,6,6,18,55,33.39924609375,0
2017,6,6,18,55,35.2049379882813,0
2017,6,6,18,55,37.0107810058594,0
2017,6,6,18,55,38.8166188964844,0
2017,6,6,18,55,40.62250390625,0
2017,6,6,18,55,42.4281809082031,0
2017,6,6,18,55,44.2339050292969,0
2017,6,6,18,55,46.0396389160156,0
2017,6,6,18,55,47.8460021972656,0
2017,6,6,18,55,49.6519270019531,0
2017,6,6,18,55,51.457587890625,0
2017,6,6,18,55,53.2634260253906,0
2017,6,6,18,55,55.0693139648438,0
2017,6,6,18,55,56.8749799804688,0
2017,6,6,18,55,58.6806369628906,0
2017,6,6,18,56,0.486512939453125,0
2017,6,6,18,56,2.29240600585937,0
2017,6,6,18,56,4.09825903320313,0
2017,6,6,18,56,5.90385009765625,0
2017,6,6,18,56,7.70971801757813,0
2017,6,6,18,56,9.51563818359375,0
2017,6,6,18,56,11.3214978027344,0
2017,6,6,18,56,13.1271611328125,0
2017,6,6,18,56,14.9329208984375,0
2017,6,6,18,56,16.7388029785156,0
2017,6,6,18,56,18.5447048339844,0
2017,6,6,18,56,20.3504060058594,0
2017,6,6,18,56,22.1561889648438,0
2017,6,6,18,56,23.9619689941406,0
2017,6,6,18,56,25.7679230957031,0
2017,6,6,18,56,27.5738608398437,0
2017,6,6,18,56,29.3796459960937,0
2017,6,6,18,56,31.1855258789063,0
2017,6,6,18,56,32.9913161621094,0
2017,6,6,18,56,34.7970290527344,0
2017,6,6,18,56,36.6028830566406,0
2017,6,6,18,56,38.408662109375,0
2017,6,6,18,56,40.2143208007813,0
2017,6,6,18,56,42.0202829589844,0
2017,6,6,18,56,43.8262299804688,0
2017,6,6,18,56,45.6320441894531,0
2017,6,6,18,56,47.4378850097656,0
2017,6,6,18,56,49.2438271484375,0
2017,6,6,18,56,51.0498618164062,0
2017,6,6,18,56,52.8555390625,0
2017,6,6,18,56,54.6614611816406,0
2017,6,6,18,56,56.4673020019531,0
2017,6,6,18,56,58.2732109375,0
2017,6,6,18,57,0.078879150390625,0
2017,6,6,18,57,1.8847880859375,0
2017,6,6,18,57,3.69048681640625,0
2017,6,6,18,57,5.49614916992187,0
