Year,Month,Day,Hour,Minute,Second,Classification
2017,6,1,17,58,51.2542600097656,1
2017,6,1,17,58,53.0602131347656,1
2017,6,1,17,58,54.8660239257812,1
2017,6,1,17,58,56.671875,1
2017,6,1,17,58,58.4777419433594,1
2017,6,1,17,59,0.283593017578125,1
2017,6,1,17,59,2.08939599609375,1
2017,6,1,17,59,3.89510205078125,1
2017,6,1,17,59,5.700869140625,1
2017,6,1,17,59,7.50665087890625,1
2017,6,1,17,59,9.3125390625,1
2017,6,1,17,59,11.1184138183594,1
2017,6,1,17,59,12.9241181640625,1
2017,6,1,17,59,14.730005859375,1
2017,6,1,17,59,16.5359311523437,1
2017,6,1,17,59,18.341869140625,1
2017,6,1,17,59,20.1478369140625,1
2017,6,1,17,59,21.9539360351563,1
2017,6,1,17,59,23.7598217773437,1
2017,6,1,17,59,25.5655268554688,1
2017,6,1,17,59,27.3713220214844,1
2017,6,1,17,59,29.1772260742188,1
2017,6,1,17,59,30.9830300292969,1
2017,6,1,17,59,32.78892578125,1
2017,6,1,17,59,34.5949140625,1
2017,6,1,17,59,36.4007609863281,1
2017,6,1,17,59,38.20674609375,1
2017,6,1,17,59,40.0125520019531,1
2017,6,1,17,59,41.8185061035156,1
2017,6,1,17,59,43.6245219726562,1
2017,6,1,17,59,45.4304860839844,1
2017,6,1,17,59,47.2363149414062,1
2017,6,1,17,59,49.0421059570312,1
2017,6,1,17,59,50.848076171875,1
2017,6,1,17,59,52.65587890625,1
2017,6,1,17,59,54.4597829589844,1
2017,6,1,17,59,56.2654860839844,1
2017,6,1,17,59,58.0714279785156,1
2017,6,1,17,59,59.87712109375,1
2017,6,1,18,0,1.68304711914063,1
2017,6,1,18,0,3.48881103515625,1
2017,6,1,18,0,5.29492895507812,1
2017,6,1,18,0,7.10073217773437,1
2017,6,1,18,0,8.90652612304688,1
2017,6,1,18,0,10.7122419433594,1
2017,6,1,18,0,12.5181560058594,1
2017,6,1,18,0,14.3240539550781,1
2017,6,1,18,0,16.1300139160156,1
2017,6,1,18,0,17.9359020996094,1
2017,6,1,18,0,19.7417280273438,1
2017,6,1,18,0,21.5475681152344,1
2017,6,1,18,0,23.3532888183594,1
2017,6,1,18,0,25.1591530761719,1
2017,6,1,18,0,26.9648459472656,1
2017,6,1,18,0,28.7707810058594,1
2017,6,1,18,0,30.5767419433594,1
2017,6,1,18,0,32.3825021972656,1
2017,6,1,18,0,34.1883098144531,1
2017,6,1,18,0,35.9940988769531,1
2017,6,1,18,0,37.79995703125,1
2017,6,1,18,0,39.6058591308594,1
2017,6,1,18,0,41.4117177734375,1
2017,6,1,18,0,43.2175852050781,1
2017,6,1,18,0,45.0234689941406,1
2017,6,1,18,0,46.82941796875,1
2017,6,1,18,0,48.635373046875,1
