Year,Month,Day,Hour,Minute,Second,Classification
2019,9,7,0,59,57.5997998046875,0
2019,9,7,0,59,59.4498000488281,0
2019,9,7,1,0,1.3497998046875,0
2019,9,7,1,0,3.19980004882812,0
2019,9,7,1,0,5.0497998046875,0
2019,9,7,1,0,6.8997998046875,0
2019,9,7,1,0,8.74980004882812,0
2019,9,7,1,0,10.5997998046875,0
2019,9,7,1,0,12.4498000488281,0
2019,9,7,1,0,14.2997998046875,0
2019,9,7,1,0,16.1497998046875,0
2019,9,7,1,0,17.9998000488281,0
2019,9,7,1,0,19.8497998046875,0
2019,9,7,1,0,21.6998000488281,0
2019,9,7,1,0,23.5497998046875,0
2019,9,7,1,0,25.3997998046875,0
2019,9,7,1,0,27.2498000488281,0
2019,9,7,1,0,29.0997998046875,0
2019,9,7,1,0,30.9498000488281,0
2019,9,7,1,0,32.7997998046875,0
2019,9,7,1,0,34.6497998046875,0
2019,9,7,1,0,36.4998000488281,0
2019,9,7,1,0,38.3497998046875,0
2019,9,7,1,0,40.1998000488281,0
2019,9,7,1,0,42.0497998046875,0
2019,9,7,1,0,43.8997998046875,0
2019,9,7,1,0,45.7498000488281,0
2019,9,7,1,0,47.5997998046875,0
2019,9,7,1,0,49.4498000488281,0
2019,9,7,1,0,51.2997998046875,0
2019,9,7,1,0,53.1497998046875,0
2019,9,7,1,0,54.9998000488281,0
2019,9,7,1,0,56.8497998046875,0
2019,9,7,1,0,58.6998000488281,0
2019,9,7,1,1,0.5497998046875,0
2019,9,7,1,1,2.3997998046875,0
2019,9,7,1,1,4.24980004882813,0
2019,9,7,1,1,6.0997998046875,0
2019,9,7,1,1,7.94980004882813,0
2019,9,7,1,1,9.7997998046875,0
2019,9,7,1,1,11.6497998046875,0
2019,9,7,1,1,13.4998000488281,0
2019,9,7,1,1,15.3497998046875,0
2019,9,7,1,1,17.1998000488281,0
2019,9,7,1,1,19.0497998046875,0
2019,9,7,1,1,20.8997998046875,0
2019,9,7,1,1,22.7498000488281,0
2019,9,7,1,1,24.5997998046875,0
2019,9,7,1,1,26.4498000488281,0
2019,9,7,1,1,28.2997998046875,0
2019,9,7,1,1,30.1497998046875,0
2019,9,7,1,1,31.9998000488281,0
2019,9,7,1,1,33.8497998046875,0
2019,9,7,1,1,35.6497998046875,0
