Year,Month,Day,Hour,Minute,Second,Classification
2022,9,6,11,31,10.4498000488281,1
2022,9,6,11,31,12.2997998046875,1
2022,9,6,11,31,14.1497998046875,1
2022,9,6,11,31,15.9998000488281,1
2022,9,6,11,31,17.8497998046875,1
2022,9,6,11,31,19.6998000488281,1
2022,9,6,11,31,21.5497998046875,1
2022,9,6,11,31,23.3997998046875,1
2022,9,6,11,31,25.2498000488281,1
2022,9,6,11,31,27.0997998046875,1
2022,9,6,11,31,28.9498000488281,1
2022,9,6,11,31,30.7997998046875,1
2022,9,6,11,31,32.6497998046875,1
2022,9,6,11,31,34.4998000488281,1
2022,9,6,11,31,36.3497998046875,1
2022,9,6,11,31,38.1998000488281,1
2022,9,6,11,31,40.0497998046875,1
2022,9,6,11,31,41.8997998046875,1
2022,9,6,11,31,43.7498000488281,1
2022,9,6,11,31,45.5997998046875,1
2022,9,6,11,31,47.4498000488281,1
2022,9,6,11,31,49.2997998046875,1
2022,9,6,11,31,51.1497998046875,1
2022,9,6,11,31,52.9998000488281,1
2022,9,6,11,31,54.8497998046875,1
2022,9,6,11,31,56.6998000488281,1
2022,9,6,11,31,58.5497998046875,1
2022,9,6,11,32,0.3997998046875,1
2022,9,6,11,32,2.24980004882813,1
2022,9,6,11,32,4.0997998046875,1
2022,9,6,11,32,5.94980004882813,1
2022,9,6,11,32,7.7997998046875,1
2022,9,6,11,32,9.6497998046875,1
2022,9,6,11,32,11.4998000488281,1
2022,9,6,11,32,13.3497998046875,1
2022,9,6,11,32,15.1998000488281,1
2022,9,6,11,32,17.0497998046875,1
2022,9,6,11,32,18.8997998046875,1
2022,9,6,11,32,20.7498000488281,1
2022,9,6,11,32,22.5997998046875,1
2022,9,6,11,32,24.4498000488281,1
2022,9,6,11,32,26.2997998046875,1
2022,9,6,11,32,28.1497998046875,1
2022,9,6,11,32,29.9998000488281,1
2022,9,6,11,32,31.8497998046875,1
2022,9,6,11,32,33.6998000488281,1
2022,9,6,11,32,35.5497998046875,1
2022,9,6,11,32,37.3997998046875,1
2022,9,6,11,32,39.2498000488281,1
2022,9,6,11,32,41.0997998046875,1
2022,9,6,11,32,42.9498000488281,1
2022,9,6,11,32,44.7997998046875,1
2022,9,6,11,32,46.6497998046875,1
2022,9,6,11,32,48.4998000488281,1
2022,9,6,11,32,50.3497998046875,1
2022,9,6,11,32,52.1998000488281,1
2022,9,6,11,32,54.0497998046875,1
2022,9,6,11,32,55.8997998046875,1
2022,9,6,11,32,57.7498000488281,1
2022,9,6,11,32,59.5997998046875,1
2022,9,6,11,33,1.44980004882813,1
2022,9,6,11,33,3.2997998046875,1
2022,9,6,11,33,5.1497998046875,1
2022,9,6,11,33,6.99980004882813,1
2022,9,6,11,33,8.8497998046875,1
2022,9,6,11,33,10.6998000488281,1
2022,9,6,11,33,12.5497998046875,1
2022,9,6,11,33,14.3997998046875,1
2022,9,6,11,33,16.2498000488281,1
2022,9,6,11,33,18.0997998046875,1
2022,9,6,11,33,19.9498000488281,1
2022,9,6,11,33,21.7997998046875,1
2022,9,6,11,33,23.6497998046875,1
2022,9,6,11,33,25.4998000488281,1
