Year,Month,Day,Hour,Minute,Second,Classification
2022,9,26,7,20,0.6497998046875,0
2022,9,26,7,20,2.49980004882813,0
2022,9,26,7,20,4.3497998046875,0
2022,9,26,7,20,6.19980004882813,1
2022,9,26,7,20,8.0497998046875,1
2022,9,26,7,20,9.8997998046875,1
2022,9,26,7,20,11.7498000488281,1
2022,9,26,7,20,13.5997998046875,1
2022,9,26,7,20,15.4498000488281,2
2022,9,26,7,20,17.2997998046875,2
2022,9,26,7,20,19.1497998046875,2
2022,9,26,7,20,20.9998000488281,2
2022,9,26,7,20,22.8497998046875,2
2022,9,26,7,20,24.6998000488281,2
2022,9,26,7,20,26.5497998046875,2
2022,9,26,7,20,28.3997998046875,2
2022,9,26,7,20,30.2498000488281,2
2022,9,26,7,20,32.0997998046875,2
2022,9,26,7,20,33.9498000488281,2
2022,9,26,7,20,35.7997998046875,2
2022,9,26,7,20,37.6497998046875,2
2022,9,26,7,20,39.4998000488281,1
2022,9,26,7,20,41.3497998046875,1
2022,9,26,7,20,43.1998000488281,1
2022,9,26,7,20,45.0497998046875,1
2022,9,26,7,20,46.8997998046875,1
2022,9,26,7,20,48.7498000488281,1
2022,9,26,7,20,50.5997998046875,1
2022,9,26,7,20,52.4498000488281,1
2022,9,26,7,20,54.3497998046875,1
2022,9,26,7,20,56.2498000488281,1
2022,9,26,7,20,58.1497998046875,0
2022,9,26,7,21,0.0497998046875,0
2022,9,26,7,21,1.94980004882812,1
2022,9,26,7,21,3.8497998046875,1
2022,9,26,7,21,5.74980004882813,1
2022,9,26,7,21,7.6497998046875,1
2022,9,26,7,21,9.49980004882812,1
2022,9,26,7,21,11.3997998046875,1
2022,9,26,7,21,13.2498000488281,1
2022,9,26,7,21,15.1497998046875,1
2022,9,26,7,21,16.9998000488281,1
2022,9,26,7,21,18.8497998046875,1
2022,9,26,7,21,20.6998000488281,1
2022,9,26,7,21,22.5497998046875,1
2022,9,26,7,21,24.3997998046875,1
2022,9,26,7,21,26.2498000488281,1
2022,9,26,7,21,28.0997998046875,1
2022,9,26,7,21,29.9498000488281,1
2022,9,26,7,21,31.7997998046875,1
2022,9,26,7,21,33.6497998046875,1
2022,9,26,7,21,35.4998000488281,1
2022,9,26,7,21,37.3497998046875,2
2022,9,26,7,21,39.1998000488281,2
2022,9,26,7,21,41.0997998046875,2
2022,9,26,7,21,42.9498000488281,2
2022,9,26,7,21,44.7997998046875,2
2022,9,26,7,21,46.6497998046875,2
2022,9,26,7,21,48.4998000488281,1
2022,9,26,7,21,50.3497998046875,1
2022,9,26,7,21,52.1998000488281,1
2022,9,26,7,21,54.0497998046875,1
2022,9,26,7,21,55.9498000488281,1
2022,9,26,7,21,57.7997998046875,1
2022,9,26,7,21,59.6497998046875,2
2022,9,26,7,22,1.49980004882813,2
2022,9,26,7,22,3.3497998046875,2
2022,9,26,7,22,5.19980004882813,2
2022,9,26,7,22,7.0497998046875,2
2022,9,26,7,22,8.8997998046875,2
2022,9,26,7,22,10.7498000488281,2
2022,9,26,7,22,12.5997998046875,2
2022,9,26,7,22,14.4498000488281,2
2022,9,26,7,22,16.2997998046875,2
2022,9,26,7,22,18.1497998046875,2
2022,9,26,7,22,19.9998000488281,2
2022,9,26,7,22,21.8497998046875,2
2022,9,26,7,22,23.6998000488281,2
2022,9,26,7,22,25.5497998046875,2
2022,9,26,7,22,27.3997998046875,2
2022,9,26,7,22,29.2498000488281,2
2022,9,26,7,22,31.0997998046875,1
2022,9,26,7,22,32.9498000488281,1
2022,9,26,7,22,34.7997998046875,1
2022,9,26,7,22,36.6497998046875,1
2022,9,26,7,22,38.4998000488281,1
2022,9,26,7,22,40.3497998046875,1
2022,9,26,7,22,42.1998000488281,1
2022,9,26,7,22,44.0497998046875,1
2022,9,26,7,22,45.8997998046875,1
2022,9,26,7,22,47.7498000488281,1
2022,9,26,7,22,49.5997998046875,1
2022,9,26,7,22,51.4498000488281,1
2022,9,26,7,22,53.2997998046875,1
2022,9,26,7,22,55.1497998046875,1
2022,9,26,7,22,56.9998000488281,1
2022,9,26,7,22,58.8497998046875,1
2022,9,26,7,23,0.699800048828125,1
2022,9,26,7,23,2.5497998046875,1
2022,9,26,7,23,4.3997998046875,1
2022,9,26,7,23,6.24980004882813,1
2022,9,26,7,23,8.0997998046875,1
2022,9,26,7,23,9.94980004882813,1
2022,9,26,7,23,11.7997998046875,1
2022,9,26,7,23,13.6497998046875,1
2022,9,26,7,23,15.4998000488281,1
2022,9,26,7,23,17.3497998046875,1
2022,9,26,7,23,19.1998000488281,1
2022,9,26,7,23,21.0497998046875,1
2022,9,26,7,23,22.8997998046875,1
2022,9,26,7,23,24.7498000488281,1
2022,9,26,7,23,26.5997998046875,1
2022,9,26,7,23,28.4498000488281,1
2022,9,26,7,23,30.2997998046875,1
2022,9,26,7,23,32.1497998046875,1
2022,9,26,7,23,33.9998000488281,1
2022,9,26,7,23,35.8497998046875,1
2022,9,26,7,23,37.6998000488281,1
2022,9,26,7,23,39.5497998046875,1
2022,9,26,7,23,41.3997998046875,1
2022,9,26,7,23,43.2498000488281,1
2022,9,26,7,23,45.0997998046875,1
2022,9,26,7,23,46.9498000488281,1
2022,9,26,7,23,48.7997998046875,1
2022,9,26,7,23,50.6497998046875,1
2022,9,26,7,23,52.5497998046875,1
2022,9,26,7,23,54.3997998046875,1
2022,9,26,7,23,56.2498000488281,1
2022,9,26,7,23,58.0997998046875,1
2022,9,26,7,23,59.9498000488281,1
2022,9,26,7,24,1.7997998046875,1
2022,9,26,7,24,3.6497998046875,1
2022,9,26,7,24,5.49980004882813,1
2022,9,26,7,24,7.3497998046875,1
2022,9,26,7,24,9.1497998046875,1
2022,9,26,7,24,10.9998000488281,1
2022,9,26,7,24,12.8497998046875,1
2022,9,26,7,24,14.6998000488281,1
2022,9,26,7,24,16.5497998046875,1
2022,9,26,7,24,18.3997998046875,1
2022,9,26,7,24,20.2498000488281,1
2022,9,26,7,24,22.0997998046875,1
2022,9,26,7,24,23.9498000488281,1
2022,9,26,7,24,25.7997998046875,1
2022,9,26,7,24,27.6497998046875,1
2022,9,26,7,24,29.4998000488281,1
2022,9,26,7,24,31.2498000488281,1
2022,9,26,7,24,33.1998000488281,1
2022,9,26,7,24,35.0497998046875,1
2022,9,26,7,24,36.9498000488281,1
