Year,Month,Day,Hour,Minute,Second,Classification
2017,6,11,17,12,26.32445703125,0
2017,6,11,17,12,28.1301931152344,0
2017,6,11,17,12,29.9361721191406,0
2017,6,11,17,12,31.7418820800781,0
2017,6,11,17,12,33.5475710449219,0
2017,6,11,17,12,35.3534528808594,0
2017,6,11,17,12,37.1595600585937,0
2017,6,11,17,12,38.9653688964844,0
2017,6,11,17,12,40.7713210449219,0
2017,6,11,17,12,42.577291015625,0
2017,6,11,17,12,44.3832021484375,0
2017,6,11,17,12,46.1889499511719,0
2017,6,11,17,12,47.994826171875,0
2017,6,11,17,12,49.8008061523438,0
2017,6,11,17,12,51.606541015625,0
2017,6,11,17,12,53.4123530273437,0
2017,6,11,17,12,55.2181320800781,0
2017,6,11,17,12,57.0241188964844,0
2017,6,11,17,12,58.8301110839844,0
2017,6,11,17,13,0.63602587890625,0
2017,6,11,17,13,2.4418330078125,0
2017,6,11,17,13,4.24767700195313,0
2017,6,11,17,13,6.05349389648438,0
2017,6,11,17,13,7.85917895507813,0
2017,6,11,17,13,9.664958984375,0
2017,6,11,17,13,11.4709338378906,0
2017,6,11,17,13,13.2766369628906,0
2017,6,11,17,13,15.0823959960937,0
2017,6,11,17,13,16.88837109375,0
2017,6,11,17,13,18.6942319335937,0
2017,6,11,17,13,20.5007780761719,0
2017,6,11,17,13,22.3059399414063,0
2017,6,11,17,13,24.1127119140625,0
2017,6,11,17,13,25.9184118652344,0
2017,6,11,17,13,27.7241508789063,0
2017,6,11,17,13,29.5299270019531,0
2017,6,11,17,13,31.33562109375,0
2017,6,11,17,13,33.1413889160156,0
2017,6,11,17,13,34.9473317871094,0
2017,6,11,17,13,36.7532180175781,0
2017,6,11,17,13,38.5591740722656,0
2017,6,11,17,13,40.3650290527344,0
2017,6,11,17,13,42.1711208496094,0
2017,6,11,17,13,43.9768491210937,0
2017,6,11,17,13,45.7826728515625,0
2017,6,11,17,13,47.58854296875,0
2017,6,11,17,13,49.3945200195312,0
2017,6,11,17,13,51.2003369140625,0
2017,6,11,17,13,53.0113920898438,0
2017,6,11,17,13,54.8173251953125,0
2017,6,11,17,13,56.6232041015625,0
2017,6,11,17,13,58.4291311035156,0
2017,6,11,17,14,0.235030029296875,0
2017,6,11,17,14,2.04106811523438,0
2017,6,11,17,14,3.84664208984375,0
2017,6,11,17,14,5.652458984375,0
2017,6,11,17,14,7.45839990234375,0
2017,6,11,17,14,9.26439306640625,0
2017,6,11,17,14,11.0700720214844,0
2017,6,11,17,14,12.875951171875,0
2017,6,11,17,14,14.6820109863281,0
2017,6,11,17,14,16.48779296875,0
2017,6,11,17,14,18.2937709960937,0
2017,6,11,17,14,20.0995769042969,0
2017,6,11,17,14,21.9053090820312,0
2017,6,11,17,14,23.7110441894531,0
2017,6,11,17,14,25.5170139160156,0
2017,6,11,17,14,27.3230009765625,0
2017,6,11,17,14,29.1287060546875,0
2017,6,11,17,14,30.934625,0
2017,6,11,17,14,32.740328125,0
2017,6,11,17,14,34.5460949707031,0
2017,6,11,17,14,36.3521931152344,0
2017,6,11,17,14,38.1643420410156,0
2017,6,11,17,14,39.9703090820312,0
2017,6,11,17,14,41.7763317871094,0
2017,6,11,17,14,43.5823159179687,0
2017,6,11,17,14,45.388046875,0
2017,6,11,17,14,47.1939348144531,0
2017,6,11,17,14,48.9998200683594,0
2017,6,11,17,14,50.8057329101563,0
2017,6,11,17,14,52.6116049804687,0
2017,6,11,17,14,54.4173720703125,0
2017,6,11,17,14,56.2239279785156,0
2017,6,11,17,14,58.0298901367187,0
2017,6,11,17,14,59.8355969238281,0
2017,6,11,17,15,1.6413330078125,0
2017,6,11,17,15,3.44705200195312,0
2017,6,11,17,15,5.252873046875,0
2017,6,11,17,15,7.0585,0
2017,6,11,17,15,8.86431201171875,0
2017,6,11,17,15,10.6700529785156,0
2017,6,11,17,15,12.4758869628906,0
2017,6,11,17,15,14.28166796875,0
2017,6,11,17,15,16.0874709472656,0
2017,6,11,17,15,17.8935698242188,0
2017,6,11,17,15,19.6994541015625,0
2017,6,11,17,15,21.5053220214844,0
2017,6,11,17,15,23.31112109375,0
2017,6,11,17,15,25.1168989257812,0
2017,6,11,17,15,26.9228051757812,0
2017,6,11,17,15,28.7285769042969,0
2017,6,11,17,15,30.5345119628906,0
2017,6,11,17,15,32.3404299316406,0
2017,6,11,17,15,34.1463288574219,0
2017,6,11,17,15,35.9521420898437,0
2017,6,11,17,15,37.7578239746094,0
2017,6,11,17,15,39.5638461914062,0
2017,6,11,17,15,41.369546875,0
2017,6,11,17,15,43.1755190429688,0
2017,6,11,17,15,44.9812451171875,0
2017,6,11,17,15,46.7870129394531,0
2017,6,11,17,15,48.5928508300781,0
2017,6,11,17,15,50.39862890625,0
2017,6,11,17,15,52.204583984375,0
2017,6,11,17,15,54.0104201660156,0
2017,6,11,17,15,55.8163500976562,0
2017,6,11,17,15,57.6221362304687,0
2017,6,11,17,15,59.4278540039062,0
2017,6,11,17,16,1.233630859375,0
2017,6,11,17,16,3.03951416015625,0
2017,6,11,17,16,4.84538598632813,0
2017,6,11,17,16,6.65122607421875,0
2017,6,11,17,16,8.45701196289063,0
2017,6,11,17,16,10.2628020019531,0
2017,6,11,17,16,12.06854296875,0
2017,6,11,17,16,13.8744680175781,0
2017,6,11,17,16,15.6803310546875,0
2017,6,11,17,16,17.4861359863281,0
2017,6,11,17,16,19.2918920898437,0
2017,6,11,17,16,21.0977600097656,0
2017,6,11,17,16,22.9035119628906,0
2017,6,11,17,16,24.7094240722656,0
2017,6,11,17,16,26.5153620605469,0
2017,6,11,17,16,28.3260859375,0
2017,6,11,17,16,30.13180078125,0
2017,6,11,17,16,31.93753515625,0
2017,6,11,17,16,33.7434499511719,0
2017,6,11,17,16,35.5492319335938,0
2017,6,11,17,16,37.3551489257813,0
2017,6,11,17,16,39.1607810058594,0
2017,6,11,17,16,40.9667661132813,0
2017,6,11,17,16,42.7727338867187,0
2017,6,11,17,16,44.5785190429688,0
2017,6,11,17,16,46.3842248535156,0
