Year,Month,Day,Hour,Minute,Second,Classification
2019,8,29,23,45,0.8997998046875,0
2019,8,29,23,45,2.74980004882813,0
2019,8,29,23,45,4.5997998046875,0
2019,8,29,23,45,6.44980004882813,0
2019,8,29,23,45,8.2997998046875,0
2019,8,29,23,45,10.1497998046875,0
2019,8,29,23,45,11.9998000488281,0
2019,8,29,23,45,13.8497998046875,0
2019,8,29,23,45,15.6998000488281,0
2019,8,29,23,45,17.5497998046875,0
2019,8,29,23,45,19.3997998046875,0
2019,8,29,23,45,21.2498000488281,0
2019,8,29,23,45,19.3997998046875,0
2019,8,29,23,45,21.2498000488281,0
2019,8,29,23,45,23.0997998046875,0
2019,8,29,23,45,24.9498000488281,0
2019,8,29,23,45,26.7997998046875,0
2019,8,29,23,45,28.6497998046875,0
2019,8,29,23,45,30.4998000488281,0
2019,8,29,23,45,32.3497998046875,0
2019,8,29,23,45,34.1998000488281,0
2019,8,29,23,45,36.0497998046875,0
2019,8,29,23,45,37.8997998046875,0
2019,8,29,23,45,39.7498000488281,0
2019,8,29,23,45,41.5997998046875,0
2019,8,29,23,45,43.4498000488281,0
2019,8,29,23,45,45.2997998046875,0
2019,8,29,23,45,47.1497998046875,0
2019,8,29,23,45,48.9998000488281,0
2019,8,29,23,45,50.8497998046875,0
2019,8,29,23,45,52.6998000488281,0
2019,8,29,23,45,54.5497998046875,0
2019,8,29,23,45,56.3997998046875,0
2019,8,29,23,45,58.2498000488281,0
2019,8,29,23,46,0.0997998046875,0
2019,8,29,23,46,1.94980004882812,0
2019,8,29,23,46,3.7997998046875,0
2019,8,29,23,46,5.6497998046875,0
2019,8,29,23,46,7.49980004882813,0
2019,8,29,23,46,9.3497998046875,0
2019,8,29,23,46,11.1998000488281,0
2019,8,29,23,46,13.0497998046875,0
2019,8,29,23,46,14.8997998046875,0
2019,8,29,23,46,16.7498000488281,0
2019,8,29,23,46,18.5997998046875,0
2019,8,29,23,46,20.4498000488281,0
2019,8,29,23,46,22.2997998046875,0
2019,8,29,23,46,24.1497998046875,0
2019,8,29,23,46,25.9998000488281,0
2019,8,29,23,46,27.8497998046875,0
2019,8,29,23,46,29.6998000488281,0
2019,8,29,23,46,31.5497998046875,0
2019,8,29,23,46,33.3997998046875,0
2019,8,29,23,46,35.2498000488281,0
2019,8,29,23,46,37.0997998046875,0
2019,8,29,23,46,38.9498000488281,0
2019,8,29,23,46,40.7498000488281,0
2019,8,29,23,46,42.4998000488281,0
2019,8,29,23,46,44.2498000488281,0
2019,8,29,23,46,45.9998000488281,0
2019,8,29,23,46,47.8997998046875,0
2019,8,29,23,46,49.7498000488281,1
2019,8,29,23,46,51.4998000488281,1
2019,8,29,23,46,53.3497998046875,1
2019,8,29,23,46,55.2498000488281,1
2019,8,29,23,46,57.1497998046875,1
2019,8,29,23,46,58.9998000488281,1
2019,8,29,23,47,0.749800048828125,1
2019,8,29,23,47,2.5497998046875,1
2019,8,29,23,47,4.3497998046875,1
2019,8,29,23,47,6.24980004882813,1
2019,8,29,23,47,8.19980004882813,2
2019,8,29,23,47,10.1998000488281,2
2019,8,29,23,47,12.1497998046875,2
2019,8,29,23,47,13.9498000488281,2
2019,8,29,23,47,15.7997998046875,2
2019,8,29,23,47,17.6497998046875,2
2019,8,29,23,47,19.5497998046875,2
2019,8,29,23,47,21.3997998046875,2
2019,8,29,23,47,23.2997998046875,2
2019,8,29,23,47,25.1998000488281,2
2019,8,29,23,47,27.0497998046875,2
2019,8,29,23,47,28.8997998046875,2
2019,8,29,23,47,30.7498000488281,2
2019,8,29,23,47,32.5997998046875,2
2019,8,29,23,47,34.4498000488281,2
2019,8,29,23,47,36.2997998046875,2
2019,8,29,23,47,38.1497998046875,2
2019,8,29,23,47,39.9998000488281,2
2019,8,29,23,47,41.8497998046875,2
2019,8,29,23,47,43.6998000488281,2
2019,8,29,23,47,45.5497998046875,2
2019,8,29,23,47,47.3997998046875,2
2019,8,29,23,47,49.2498000488281,2
2019,8,29,23,47,51.0997998046875,2
2019,8,29,23,47,52.9498000488281,2
