Date,Time,Case,Primary Convective Type,Convective Lifecycle,Echo Type,Environment Falling In,Environment Falling In Notes,Environment Falling In Ambiguous,Partially In Precip,Falling Through Evaporating/Dissipating Stratiform,Low-level Inflow Sonde,Mid-level Inflow Sonde,Region,Associated with a TC,Primary Convective Propagation,Environment Relative to Convective Pass,Direction Relative to Convection,Sfc Pressure [mb],Sfc Height [m],PBL Top [mb],PBL Top Height [m],Freezing Level [mb],Freezing Level Height [m],Upper Level Cap [mb],Upper Level Cap Height [m],M10 Celsius Level [mb],M20 Celsius Level [mb],M30 Celsius Level [mb],PBL RH [%],Mid Layer RH [%],Upper Layer RH [%],Deep Layer RH [%],Below FZL MUCAPE [J/kg],Above FZL MUCAPE [J/kg],Deep Layer MUCAPE [J/kg],MU CIN [J/kg],MU LCL [mb],MU EL [mb],MU Max LI [degC],MU Max LI Level [mb],MU Max LI Layer,Below FZL MLCAPE [J/kg],Above FZL MLCAPE [J/kg],Deep Layer MLCAPE [J/kg],ML CIN [J/kg],ML LCL [mb],ML EL [mb],ML Max LI [degC],ML Max LI Level [mb],ML Max LI Layer,SHARPpy Direct Method PBL Speed Shear [kts],SHARPpy Direct Method PBL Directional Shear [deg],SHARPpy Direct Method Mid Layer Speed Shear [kts],SHARPpy Direct Method Mid Layer Directional Shear [deg],SHARPpy Direct Method Upper Layer Speed Shear [kts],SHARPpy Direct Method Upper Layer Directional Shear [deg],SHARPpy Direct Method Deep Layer Speed Shear [kts],SHARPpy Direct Method Deep Layer Directional Shear [deg],10mb Interval Theta Gradient PBL Top [mb],10mb Interval Theta Gradient PBL RH [%],10mb Interval Theta Gradient Mid Layer RH [%],Max Profile Height [m],500m Bottom Cap Profile Height [m],500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg]
20170610,220114,1,Isolated,Weakening,Stratiform,Clear Near,,,,,Yes,Yes,Western Atlantic,No,,,,1014.8,56.4,933.7,790.7,571.9,4893.9,403.2,7622.5,459.7,366.4,--,88.1,60.1,35.4,55.2,505.9,715.6,1221.5,0,974.3,--,--,--,,262.3,482.7,745,-0.9,937.5,--,-0.15,916.7,,3.99,226.9,2.84,15.9,10.08,289.1,11.94,286,,,,9072.4,499.1,12.7,299.2
20170610,220937,1,Isolated,Weakening,Stratiform,In Cloud,"Near stratiform of main cell, but some shallower, weak convection surrounds it (timewise)",,,,Yes,Yes,Western Atlantic,No,,,,1010,119.5,1002.7,183.7,584,4746.1,404.5,7610.8,462.6,363.7,--,84.6,79.4,76.1,78.3,287.6,554.3,841.9,-5,947,--,-0.18,914.2,,229.7,484.5,714.2,-10.4,932.3,--,-0.01,865.5,,2.16,174.7,17.66,159.4,31.2,290.8,23.42,251.1,,,,9126.1,496.4,29.17,271.6
20170610,221927,1,Isolated,Weakening,Stratiform,Clear Near,,,,,No,No,Western Atlantic,No,None,Unclear,Northwest,1008.7,124.8,989.1,297.8,591.1,4637.2,403.6,7612.5,460,372.3,--,85.1,76.6,50.9,67.7,245.4,511.4,756.8,-8.7,921,--,0.87,920.2,,192,438.9,630.8,-20.8,919.1,--,-0.05,851.1,,4.04,54.8,13.4,289.5,13.43,255.8,22.63,278.9,,,,8996,498.8,25.82,260.5
20170624,182206,2,Isolated,Growing,Convective,Clear Near,,,,,No,No,Caribbean,No,,,,,,,,542.7,5304.6,403.6,7617.6,448.8,371.3,--,,,44.1,,,,,,,,,,,,,,,,,,,,,,,,8.12,46,,,,,,9105.7,503.3,13.52,40.4
20170624,184104,2,Isolated,Growing,Convective,Clear Near,,,,,No,No,Caribbean,No,,,,,,,,543.2,5261.6,402.4,7610.5,447.6,370.5,305.6,,,42.7,,,,,,,,,,,,,,,,,,,,,,,,6.75,50.9,,,,,,11317.8,,,
20170624,191207,2,Isolated,Mature,Convective,Clear Near,Convective cell surrounds it (timewise),,,,No,No,Caribbean,No,Westward,Unclear,North,998,170,985.7,279.9,544,5286.9,404.3,7615.3,448.9,370.5,304.8,81.8,77.3,39.5,70.4,75.6,271.4,347,-24.7,946.6,--,-0.37,760.3,,32.3,222.3,254.5,-26.8,912,--,-0.35,784.6,,1.12,301.3,14.02,36.6,3.57,60.4,16.93,37.5,,,,11940.3,512.3,18.09,50.7
20170624,202405,3,Isolated,Growing,Convective,Clear Near,SkewT may suggest In Cloud from 700-800mb,Yes,,,Yes,Yes,Gulf,No,Westward,Unclear,East,981.7,310.2,959.4,513.1,537.6,5378.9,403.7,7619.6,444.6,365.2,--,85.8,78.9,51.7,71.5,305.6,366.9,672.6,-10.2,950.7,--,0.91,950.2,,99.1,198,297.1,-14.7,893.9,--,-2.06,781.4,,3.04,333.3,7.6,166.8,14.39,272.3,14.66,255.4,,,,9691.8,504.8,14.08,243.8
20170624,204033,3,Isolated,Growing,Convective,Clear Near,,,,,No,No,Gulf,No,Westward,Before,West,1001.8,133,967.9,438.5,549.6,5205,404.2,7613.2,440.8,368.7,--,86.2,76.5,56.6,70.8,395.6,484.1,879.8,-7.4,963.6,--,0.72,962.7,,212,319.6,531.6,-16,912.2,--,1.11,911.7,,2.27,30.8,13.83,205.8,9.21,251.6,19.52,225.8,,,,9683,496.2,21.06,221.6
20170624,205531,3,Isolated,Mature,Convective,Clear Near,,,,,Yes,Yes,Gulf,No,Westward,After,East,1000.6,204,957.9,589.6,539.6,5418.8,407.3,7618.5,444,366.5,300.8,79.5,68.9,55.6,66.1,289.6,399.8,689.5,-8,959.9,--,0.36,959.8,,0.3,86.5,86.8,-142.8,888,248.8,-1.77,406.5,,5.1,173.5,6.58,304.2,10.31,267.8,15.25,264.1,,,,12652,499.1,16.18,274.1
20170624,210621,3,Isolated,Mature,Convective,In Cloud,"SkewT would appear to indicate this is not actually in precip, but just In Cloud likely",Yes,,,Yes,Yes,Gulf,No,,,,984,280.2,958.3,513.5,543.4,5274.1,407.7,7529,447.4,365.8,304.2,87.3,79.3,73.4,78.2,328.3,345.8,674.1,-13.4,958.5,--,0.76,958.3,,94.4,148.9,243.2,-23.5,890.3,199.7,-0.1,213.6,,2.75,8.1,9.3,190.8,15.56,332.4,12,310.3,,,,13265.7,505.3,11.31,298.8
